trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
823,False,"{'a': 0.5, 'e': 0.05771139442058717}",25,11,26.002043003262926,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
824,False,"{'a': 0.5, 'e': 0.05751172816405469}",25,2,19.209825691437025,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
825,False,"{'a': 0.5, 'e': 0.05731275270029195}",20,5,2.9983072259122876,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
826,False,"{'a': 0.5, 'e': 0.05711446563933754}",30,13,6.6141143411710255,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
827,False,"{'a': 0.5, 'e': 0.056916864599498664}",30,8,41.6931942682299,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
828,False,"{'a': 0.5, 'e': 0.05671994720732257}",30,19,21.395469940708825,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
829,False,"{'a': 0.5, 'e': 0.056523711097567986}",20,8,9.231786525844724,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
830,False,"{'a': 0.5, 'e': 0.05632815391317687}",20,6,25.97536621312895,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
831,False,"{'a': 0.5, 'e': 0.05613327330524588}",20,12,1.9658408881876148,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
832,False,"{'a': 0.5, 'e': 0.05593906693299827}",25,13,18.669209340730994,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
833,False,"{'a': 0.5, 'e': 0.05574553246375579}",20,12,16.07466512097845,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
834,False,"{'a': 0.5, 'e': 0.05555266757291064}",25,1,43.218451352672744,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
835,False,"{'a': 0.5, 'e': 0.055360469943897546}",20,12,17.186880506389475,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
836,False,"{'a': 0.5, 'e': 0.05516893726816594}",30,18,21.471631877407482,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
837,False,"{'a': 0.5, 'e': 0.05497806724515221}",25,16,15.548690578345719,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
838,False,"{'a': 0.5, 'e': 0.05478785758225218}",30,15,-24.760121279757485,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
839,False,"{'a': 0.5, 'e': 0.05459830599479338}",35,0,11.50554353407454,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",1
840,False,"{'a': 0.5, 'e': 0.05440941020600775}",35,24,21.82964549166173,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
841,False,"{'a': 0.5, 'e': 0.054221167947004247}",25,16,16.996514536282607,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
842,False,"{'a': 0.5, 'e': 0.054033576956741575}",20,8,22.62631370210608,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
